City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,hobyo,5.3505,48.5268,28.11,67,14,6.45,SO,1680890482
192,kuala terengganu,5.3302,103.1408,26.72,80,39,0.91,MY,1680890406
193,samarai,-10.6167,150.6667,27.95,78,100,2.86,PG,1680890483
194,pangody,65.85,74.4859,-5.79,94,100,10.28,RU,1680890483
195,melo,-32.3667,-54.1833,25.6,33,56,4.19,UY,1680890484
196,talnakh,69.4865,88.3972,-33.83,99,94,2.71,RU,1680890484
197,tateyama,34.9833,139.8667,17.8,82,83,10.22,JP,1680890400
198,port hardy,50.6996,-127.4199,7.09,82,92,3.44,CA,1680890485
199,san quintin,30.4833,-115.95,17.6,52,78,4.03,MX,1680890486
200,kibakwe,-6.7167,36.3667,18.18,92,29,1.86,TZ,1680890486
201,asau,46.4333,26.4,2.51,100,100,0.98,RO,1680890487
202,russell,32.3502,-85.1999,27.45,59,99,1.98,US,1680890487
203,alofi,-19.0595,-169.9187,27.04,75,47,6.97,NU,1680890488
204,bolshaya sosnova,57.6713,54.6029,-2.32,67,1,1.87,RU,1680890489
205,richards bay,-28.783,32.0377,21.22,92,0,2.68,ZA,1680890281
206,whitehorse,60.7161,-135.0538,0.02,87,14,1.64,CA,1680890490
207,yarmouth,41.7057,-70.2286,15.9,47,0,5.66,US,1680890490
208,malpe,13.35,74.7167,27.61,83,16,1.8,IN,1680890491
209,burgeo,47.6167,-57.6152,1.62,96,95,10.19,CA,1680890491
210,namibe,-15.1961,12.1522,24.21,80,92,3.66,AO,1680890492
211,yerbogachen,61.2767,108.0108,-22.36,94,41,3.35,RU,1680890492
212,truth or consequences,33.1284,-107.2528,17.73,16,0,3.6,US,1680890493
213,la paz,-16.5,-68.15,13.65,47,100,2.68,BO,1680890493
214,saint-pierre,-21.3393,55.4781,25.82,78,0,4.12,RE,1680890494
215,bredasdorp,-34.5322,20.0403,15.8,75,100,2.26,ZA,1680890494
216,shiyan,32.6475,110.7781,12.58,53,100,0.98,CN,1680890495
217,majene,-3.5403,118.9707,25.42,80,100,1.99,ID,1680890257
218,nueva guinea,11.6876,-84.4562,31.88,41,100,6.76,NI,1680890496
219,koslan,63.4564,48.8989,-5.55,96,58,2.26,RU,1680890496
